Sample_ID,Site,Core_ID,fraction
DSC_008,SOAP,B-E,O
DSC_009,SOAP,B-R,15-30_cm
DSC_010,SOAP,B-R,50-100_cm
DSC_011,SOAP,B-F,O
DSC_012,SOAP,B-F,0-15_cm
DSC_013,SOAP,B-F,30-50_cm
DSC_014,SOAP,B-F,100-150_cm
DSC_015,SOAP,B-F,200-300_cm
DSC_016,SOAP,B-F,300-400_cm
DSC_017,SOAP,B-F,400-500_cm
DSC_018,SOAP,B-S,0-15_cm
DSC_019,SOAP,B-S,50-100_cm
DSC_020,SOAP,B-S,100-150_cm
DSC_021,SOAP,B-S,150-200_cm
DSC_022,SOAP,B-S,200-300_cm
DSC_023,SOAP,B-H,15-30_cm
DSC_024,SOAP,B-H,30-50_cm
DSC_025,SOAP,B-H,50-100_cm
DSC_026,SOAP,B-H,100-150_cm
DSC_027,SOAP,B-H,150-200_cm
DSC_028,SOAP,B-H,200-300_cm
DSC_029,SOAP,B-H,300-400_cm
DSC_030,SOAP,B-H,400-500_cm
DSC_031,SOAP,B-U,0-15_cm
DSC_032,SOAP,B-U,50-100_cm
DSC_033,SOAP,B-U,100-150_cm
DSC_034,SOAP,B-U,150-200_cm
DSC_035,NEWT,U-M,15-30_cm
DSC_036,NEWT,U-M,30-50_cm
DSC_037,NEWT,U-M,50-100_cm
DSC_038,NEWT,U-Z,0-15_cm
DSC_039,NEWT,U-Z,50-100_cm
DSC_040,NEWT,U-Z,100-150_cm
DSC_041,NEWT,U-Z,150-200_cm
DSC_042,NEWT,U-Z,200-300_cm
DSC_043,NEWT,U-Z,300-400_cm
DSC_044,NEWT,U-01,O
DSC_045,NEWT,U-01,15-30_cm
DSC_046,NEWT,U-01,30-50_cm
DSC_047,NEWT,U-02,0-15_cm
DSC_048,NEWT,U-J,0-15_cm
DSC_049,NEWT,U-J,50-100_cm
DSC_050,NEWT,U-J,100-150_cm
DSC_051,NEWT,U-J,150-200_cm
DSC_052,NEWT,U-W,15-30_cm
DSC_053,NEWT,U-W,30-50_cm
DSC_054,NEWT,U-W,50-100_cm
DSC_055,NEWT,U-W,100-150_cm
DSC_056,NEWT,U-W,150-200_cm
DSC_071,SOAP,B-E,0-15_cm
DSC_072,SOAP,B-E,15-30_cm
DSC_073,SOAP,B-E,30-50_cm
DSC_074,SOAP,B-E,50-100_cm
DSC_075,SOAP,B-E,100-150_cm
DSC_076,SOAP,B-E,150-200_cm
DSC_077,SOAP,B-E,200-300_cm
DSC_078,SOAP,B-E,300-400_cm
DSC_079,SOAP,B-R,O
DSC_080,SOAP,B-R,0-15_cm
DSC_081,SOAP,B-R,30-50_cm
DSC_082,SOAP,B-R,100-150_cm
DSC_083,SOAP,B-S,O
DSC_084,SOAP,B-F,15-30_cm
DSC_085,SOAP,B-F,50-100_cm
DSC_086,SOAP,B-F,150-200_cm
DSC_087,SOAP,B-H,O
DSC_088,SOAP,B-U,O
DSC_089,SOAP,B-S,15-30_cm
DSC_090,SOAP,B-S,30-50_cm
DSC_091,SOAP,B-H,0-15_cm
DSC_092,SOAP,B-U,15-30_cm
DSC_093,SOAP,B-U,30-50_cm
DSC_094,NEWT,U-M,O
DSC_095,NEWT,U-Z,O
DSC_096,NEWT,U-M,0-15_cm
DSC_097,NEWT,U-M,100-150_cm
DSC_098,NEWT,U-M,200-300_cm
DSC_099,NEWT,U-M,300-400_cm
DSC_100,NEWT,U-M,150-200_cm
DSC_101,NEWT,U-M,400-500_cm
DSC_102,NEWT,U-Z,15-30_cm
DSC_103,NEWT,U-Z,30-50_cm
DSC_104,NEWT,U-J,O
DSC_105,NEWT,U-W,O
DSC_106,NEWT,U-02,O
DSC_107,NEWT,U-01,0-15_cm
DSC_108,NEWT,U-02,15-30_cm
DSC_109,NEWT,U-02,30-50_cm
DSC_110,NEWT,U-J,15-30_cm
DSC_111,NEWT,U-J,30-50_cm
DSC_112,NEWT,U-W,0-15_cm
DSC_126,NEWT,U-01,50-100_cm
DSC_127,NEWT,U-01,100-150_cm
DSC_128,NEWT,U-01,150-200_cm
DSC_129,NEWT,U-01,200-300_cm
DSC_130,NEWT,U-02,50-100_cm
DSC_131,NEWT,U-02,100-150_cm
DSC_132,NEWT,U-02,150-200_cm
not_collected,SOAP,B-E,400-500_cm
not_collected,SOAP,B-R,150-200_cm
not_collected,SOAP,B-R,200-300_cm
not_collected,SOAP,B-R,300-400_cm
not_collected,SOAP,B-R,400-500_cm
not_collected,SOAP,B-S,300-400_cm
not_collected,SOAP,B-S,400-500_cm
not_collected,SOAP,B-U,200-300_cm
not_collected,SOAP,B-U,300-400_cm
not_collected,SOAP,B-U,400-500_cm
not_collected,NEWT,U-01,300-400_cm
not_collected,NEWT,U-01,400-500_cm
not_collected,NEWT,U-02,200-300_cm
not_collected,NEWT,U-02,300-400_cm
not_collected,NEWT,U-02,400-500_cm
not_collected,NEWT,U-J,200-300_cm
not_collected,NEWT,U-J,300-400_cm
not_collected,NEWT,U-J,400-500_cm
not_collected,NEWT,U-W,200-300_cm
not_collected,NEWT,U-W,300-400_cm
not_collected,NEWT,U-W,400-500_cm
not_collected,NEWT,U-Z,400-500_cm
